file	ported	total_tests	passing	failing	status	real_pass	real_total	expect_failure
t1514-rev-parse-push	yes	9	3	6	ok	3	9	0
t1515-rev-parse-outside-repo	yes	4	4	0	ok	4	4	0
t1517-outside-repo	yes	195	97	98	ok	97	195	0
t1600-index	yes	7	4	3	ok	4	7	0
t1601-index-bogus	yes	4	4	0	ok	4	4	0
t1700-split-index	yes	28	2	26	ok	2	28	0
t1701-racy-split-index	yes	31	1	30	ok	1	31	0
t1800-hook	yes	44	5	39	ok	5	44	0
t1900-repo-info	yes	37	9	28	ok	9	37	0
t1901-repo-structure	yes	4	2	2	ok	2	4	0
t2000-conflict-when-checking-files-out	yes	14	9	5	ok	9	14	0
t2002-checkout-cache-u	yes	3	3	0	ok	3	3	0
t2003-checkout-cache-mkdir	yes	10	3	7	ok	3	10	0
t2004-checkout-cache-temp	yes	23	8	15	ok	8	23	0
t2005-checkout-index-symlinks	yes	3	3	0	ok	3	3	0
t2006-checkout-index-basic	yes	9	5	4	ok	5	9	0
t2007-checkout-symlink	yes	4	4	0	ok	4	4	0
t2008-checkout-subdir	yes	9	9	0	ok	9	9	0
t2009-checkout-statinfo	yes	3	3	0	ok	3	3	0
t2010-checkout-ambiguous	yes	10	10	0	ok	10	10	0
t2011-checkout-invalid-head	yes	10	8	2	ok	8	10	0
t2012-checkout-last	yes	22	22	0	ok	22	22	0
t2013-checkout-submodule	yes	74	14	60	ok	14	74	0
t2014-checkout-switch	yes	4	4	0	ok	4	4	0
t2015-checkout-unborn	yes	6	6	0	ok	6	6	0
t2016-checkout-patch	yes	19	7	12	ok	7	19	0
t2017-checkout-orphan	yes	13	6	7	ok	6	13	0
t2018-checkout-branch	yes	25	21	4	ok	21	25	0
t2019-checkout-ambiguous-ref	yes	9	7	2	ok	7	9	0
t2020-checkout-detach	yes	26	16	10	ok	16	26	0
t2021-checkout-overwrite	yes	9	6	3	ok	6	9	0
t2022-checkout-paths	yes	5	4	1	ok	4	5	0
t2023-checkout-m	yes	5	2	3	ok	2	5	0
t2024-checkout-dwim	yes	23	10	13	ok	10	23	0
t2025-checkout-no-overlay	yes	6	1	5	ok	1	6	0
t2026-checkout-pathspec-file	yes	11	1	10	ok	1	11	0
t2027-checkout-track	yes	5	4	1	ok	4	5	0
t2030-checkout-index-basic	yes	27	27	0	ok	27	27	0
t2030-unresolve-info	yes	14	2	12	ok	2	14	0
t2031-checkout-index-symlink	yes	25	25	0	ok	25	25	0
t2032-checkout-index-parallel	yes	28	28	0	ok	28	28	0
t2040-checkout-file-modes	yes	28	28	0	ok	28	28	0
t2045-checkout-conflict	yes	29	29	0	ok	29	29	0
t2050-checkout	yes	80	80	0	ok	80	80	0
t2050-git-dir-relative	yes	4	4	0	ok	4	4	0
t2060-switch	yes	16	16	0	ok	16	16	0
t2061-switch-orphan	yes	15	15	0	ok	15	15	0
t2070-restore	yes	15	5	10	ok	5	15	0
t2071-restore-patch	yes	15	2	13	ok	2	15	0
t2072-restore-pathspec-file	yes	12	2	10	ok	2	12	0
t2080-parallel-checkout-basics	yes	11	0	11	ok	0	11	0
t2081-parallel-checkout-collisions	yes	6	6	0	ok	6	6	0
t2082-parallel-checkout-attributes	yes	5	1	4	ok	1	5	0
t2100-update-cache-badpath	yes	5	1	4	ok	1	5	0
t2101-update-index-reupdate	yes	0	0	0	timeout	0	0	0
t2102-update-index-symlinks	yes	3	3	0	ok	3	3	0
t2103-update-index-ignore-missing	yes	5	1	4	ok	1	5	0
t2104-update-index-skip-worktree	yes	7	7	0	ok	7	7	0
t2105-update-index-gitfile	yes	4	4	0	ok	4	4	0
t2106-update-index-assume-unchanged	yes	2	2	0	ok	2	2	0
t2107-update-index-basic	yes	10	5	5	ok	5	10	0
t2108-update-index-refresh-racy	yes	6	0	6	ok	0	6	0
t2200-add-update	yes	19	13	6	ok	13	19	0
t2201-add-update-typechange	yes	6	2	4	ok	2	6	0
t2202-add-addremove	yes	3	0	3	ok	0	3	0
t2203-add-intent	yes	19	4	15	ok	4	19	0
t2204-add-ignored	yes	47	37	10	ok	37	47	0
t2205-add-worktree-config	yes	13	3	10	ok	3	13	0
t2206-add-submodule-ignored	yes	8	4	4	ok	4	8	0
t2300-cd-to-toplevel	yes	5	0	5	ok	0	5	0
t2400-worktree-add	yes	232	37	195	ok	37	232	0
t2401-worktree-prune	yes	13	5	8	ok	5	13	0
t2402-worktree-list	yes	27	9	18	ok	9	27	0
t2403-worktree-move	yes	33	16	17	ok	16	33	0
t2404-worktree-config	yes	12	4	8	ok	4	12	0
t2405-worktree-submodule	yes	11	2	9	ok	1	10	1
t2406-worktree-repair	yes	24	4	20	ok	4	24	0
t2407-worktree-heads	yes	12	2	10	ok	2	12	0
t2500-untracked-overwriting	yes	10	5	5	ok	3	8	2
t2501-cwd-empty	yes	24	3	21	ok	3	24	0
t3000-ls-files-others	yes	15	6	9	ok	6	15	0
t3001-ls-files-others-exclude	yes	27	11	16	ok	11	27	0
t3002-ls-files-dashpath	yes	6	6	0	ok	6	6	0
t3003-ls-files-exclude	yes	7	7	0	ok	7	7	0
t3004-ls-files-basic	yes	6	6	0	ok	6	6	0
t3005-ls-files-relative	yes	4	1	3	ok	1	4	0
t3006-ls-files-long	yes	3	3	0	ok	3	3	0
t3007-ls-files-recurse-submodules	yes	24	1	23	ok	1	24	0
t3008-ls-files-lazy-init-name-hash	yes	1	0	1	ok	0	1	0
t3009-ls-files-others-nonsubmodule	yes	2	2	0	ok	2	2	0
t3010-ls-files-killed-modified	yes	6	1	5	ok	1	6	0
t3011-common-prefixes-and-directory-traversal	yes	21	7	14	ok	6	20	1
t3012-ls-files-dedup	yes	3	3	0	ok	3	3	0
t3013-ls-files-format	yes	20	8	12	ok	8	20	0
t3020-ls-files-error-unmatch	yes	3	3	0	ok	3	3	0
t3040-subprojects-basic	yes	11	6	5	ok	6	11	0
t3060-ls-files-with-tree	yes	8	2	6	ok	2	8	0
t3070-wildmatch	yes	1901	1901	0	ok	1898	1898	3
t3101-ls-tree-dirname	yes	19	13	6	ok	13	19	0
t3102-ls-tree-wildcards	yes	4	4	0	ok	3	3	1
t3103-ls-tree-misc	yes	10	6	4	ok	6	10	0
t3104-ls-tree-format	yes	19	10	9	ok	10	19	0
t3105-ls-tree-output	yes	60	13	47	ok	13	60	0
t3200-branch	yes	167	79	88	ok	79	167	0
t3201-branch-contains	yes	24	15	9	ok	15	24	0
t3202-show-branch	yes	27	4	23	ok	4	27	0
t3203-branch-output	yes	41	15	26	ok	15	41	0
t3204-branch-name-interpretation	yes	16	7	9	ok	7	16	0
t3205-branch-color	yes	4	4	0	ok	4	4	0
t3206-range-diff	yes	48	5	43	ok	5	48	0
t3207-branch-submodule	yes	20	2	18	ok	2	20	0
t3211-peel-ref	yes	8	8	0	ok	8	8	0
t3300-funny-names	yes	21	8	13	ok	8	21	0
t3301-notes	yes	153	46	107	ok	46	153	0
t3302-notes-index-expensive	yes	12	12	0	ok	12	12	0
t3303-notes-subtrees	yes	23	12	11	ok	12	23	0
t3304-notes-mixed	yes	6	6	0	ok	6	6	0
t3305-notes-fanout	yes	7	4	3	ok	4	7	0
t3306-notes-prune	yes	12	4	8	ok	4	12	0
t3307-notes-man	yes	3	1	2	ok	1	3	0
t3308-notes-merge	yes	19	3	16	ok	3	19	0
t3309-notes-merge-auto-resolve	yes	31	2	29	ok	2	31	0
t3310-notes-merge-manual-resolve	yes	22	4	18	ok	4	22	0
t3311-notes-merge-fanout	yes	24	1	23	ok	1	24	0
t3320-notes-merge-worktrees	yes	9	4	5	ok	4	9	0
t3321-notes-stripspace	yes	27	1	26	ok	1	27	0
t3400-rebase	yes	39	9	30	ok	9	39	0
t3401-rebase-and-am-rename	yes	10	6	4	ok	4	8	2
t3402-rebase-merge	yes	13	2	11	ok	2	13	0
t3403-rebase-skip	yes	20	4	16	ok	4	20	0
t3404-rebase-interactive	yes	0	0	0	ok	0	0	0
t3405-rebase-malformed	yes	5	5	0	ok	5	5	0
t3406-rebase-message	yes	32	3	29	ok	3	32	0
t3407-rebase-abort	yes	17	0	17	ok	0	17	0
t3409-rebase-environ	yes	3	3	0	ok	3	3	0
t3412-rebase-root	yes	25	12	13	ok	12	25	0
t3413-rebase-hook	yes	15	5	10	ok	5	15	0
t3415-rebase-autosquash	yes	28	2	26	ok	2	28	0
t3416-rebase-onto-threedots	yes	18	7	11	ok	7	18	0
t3417-rebase-whitespace-fix	yes	4	0	4	ok	0	4	0
t3418-rebase-continue	yes	30	6	24	ok	6	30	0
t3419-rebase-patch-id	yes	8	4	4	ok	4	8	0
t3420-rebase-autostash	yes	52	4	48	ok	4	52	0
t3421-rebase-topology-linear	yes	64	11	53	ok	11	64	0
t3422-rebase-incompatible-options	yes	52	38	14	ok	38	52	0
t3423-rebase-reword	yes	3	1	2	ok	1	3	0
t3424-rebase-empty	yes	20	3	17	ok	2	19	1
